id,name,category,city,website,address
11467,"Brooklyn Chop House",nightclub,Brooklyn,https://www.brooklynchophouse.com/,"150 Nassau St, New York, NY 10038"
11431,"Ainsworth Hoboken",nightclub,Hoboken,https://www.the-ainsworth.com/,"310 Sinatra Dr, Hoboken, NJ 07030"
11570,"Lola Hoboken",nightclub,Hoboken,https://www.thelolahoboken.com/,"102 Sinatra Dr, Hoboken, NJ 07030"
11716,"capacity limits",nightclub,Hoboken,http://www.hobokennj.org/,"New Jersey"
11571,Loosies,nightclub,Manhattan,https://taogroup.com/venues/loosies-nightclub-new-york/,"145 Bowery, New York, NY 10002"
11278,"TAO Group Venue",nightclub,Manhattan,https://taodowntown.com/nightclub/,"369 W 16th St, New York, NY 10011"
11395,"Tao Downtown",nightclub,Manhattan,https://taogroup.com/venues/tao-downtown-new-york/,"92 9th Ave, New York, NY 10011"
11679,"The Fleur Room",nightclub,Manhattan,https://moxychelsea.com/the-fleur-room/,"105 W 28th St, New York, NY 10001"
11400,"The Highlight Room",nightclub,Manhattan,https://taogroup.com/venues/the-highlight-room-new-york/,"145 Bowery, New York, NY 10002"
11337,00:00,nightclub,"New York",http://www.0000space.com/,"21-38 44th Rd, Long Island City, NY 11101"
11338,"3 Dollar Bill",nightclub,"New York",https://3dollarbillbk.com/,"260 Meserole St, Brooklyn, NY 11206"
11425,"A New York NY US",nightclub,"New York",http://www.mbpo.org/,"New York, NY"
11339,"AMC Times Square",nightclub,"New York",https://www.amctheatres.com/movie-theatres/miami-ft-lauderdale/amc-aventura-24?utm_medium=organic&utm_source=google&utm_campaign=local,"19501 Biscayne Blvd #3001, Aventura, FL 33180"
11426,"AMC Times Square NYE Mega",nightclub,"New York",https://www.amctheatres.com/movie-theatres/new-york-city/amc-empire-25?utm_medium=organic&utm_source=google&utm_campaign=local,"234 W 42nd St, New York, NY 10036"
11307,"Ace Hotel",live_music,"New York",https://www.acehotel.com/newyork/,"20 W 29th St, New York, NY 10001"
11427,"Acoustik Garden Lounge",nightclub,"New York",https://acoustikgardenlounge.com/,"1515 Atlantic Ave, Brooklyn, NY 11213"
11428,"Adults Only Times Square NYE Party Pass",nightclub,"New York",http://timessquarenewyears.com/,"225 W 39th St, New York, NY 10018"
11430,"Ainsworth Chelsea",nightclub,"New York",http://www.the-ainsworth.com/,"122 W 26th St, New York, NY 10001"
11308,"Ainsworth Midtown",nightclub,"New York",http://www.theainsworth.com/midtown,"45 E 33rd St, New York, NY 10016"
11432,"All Access NYE Party Pass NYC",nightclub,"New York",https://nycnewyears.com/,"1441 Broadway Suite 5015, New York, NY 10018"
11314,"Amelia's",nightclub,"New York",http://amelias.nyc/,"450 Park Ave S, New York, NY 10016"
11315,"American Whiskey",nightclub,"New York",https://www.americanwhiskeynyc.com/,"247 W 30th St, New York, NY 10001"
11340,"American Whiskey Midtown",nightclub,"New York",https://www.americanwhiskeynyc.com/,"247 W 30th St, New York, NY 10001"
11316,"Apollo Studio",nightclub,"New York",https://www.facebook.com/apollostudionyc/,"321 Nassau Ave, Brooklyn, NY 11222"
11433,"Arlo SoHo, Living Room",nightclub,"New York",https://www.arlohotels.com/soho,"231 Hudson St, New York, NY 10013"
11434,"Arlo Williamsburg",nightclub,"New York",https://www.arlohotels.com/williamsburg/?utm_campaign=GoogleMyBusiness&utm_source=Google&utm_medium=LocalSearch,"96 Wythe Ave, Brooklyn, NY 11249"
11435,"ArtSpace @ PUBLIC Hotel",nightclub,"New York",https://www.publichotels.com/newyork/eat-and-drink/artspace,"215 Chrystie St, New York, NY 10002"
11436,"Aspen Social at the Night Hotel",nightclub,"New York",https://nighthotelattimessquare.reservandohoteles.com/,"132 W 45th St, New York, NY 10036"
11438,"Attic Rooftop & Lounge",nightclub,"New York",https://www.atticurbanrooftop.com/,"Ermou 86, Athina 105 54, Greece"
11439,"Avalon Yacht",live_music,"New York",http://www.y4as.com/,"1700 York Ave, New York, NY 10128"
11440,Avenue,nightclub,"New York",https://www.avenues.org/ny,"259 10th Ave, New York, NY 10001"
11441,"B Bar aka Bowery Bar",nightclub,"New York",http://www.310bowery.nyc/,"310 Bowery #2, New York, NY 10012"
11443,"Baby's All Right",nightclub,"New York",http://babysallright.com/,"146 Broadway, Brooklyn, NY 11211"
11280,"Bar 13",nightclub,"New York",http://www.bar13nyc.com/,"121 University Pl, New York, NY 10003"
11444,"Bar Sella",nightclub,"New York",https://barsellanyc.com/,"134 4th Ave, New York, NY 10003"
11449,Bembe,nightclub,"New York",http://www.bembe.us/,"81 S 6th St, Brooklyn, NY 11249"
11450,"Bk Backyard Bar",nightclub,"New York",https://www.bkbackyard.com/,"151 Banker St, Brooklyn, NY 11222"
11451,"Blind Barber",nightclub,"New York",http://www.blindbarber.com/,"East Village, 339 E 10th St, New York, NY 10009"
11341,"Blind Barber NYC",live_music,"New York",http://www.blindbarber.com/,"East Village, 339 E 10th St, New York, NY 10009"
11452,"Blue Lounge",nightclub,"New York",http://www.algonquinhotel.com/blue-bar,"59 W 44th St, New York, NY 10036"
11453,Boardroom,nightclub,"New York",http://www.theboardroomny.com/,"150 E 54th St, New York, NY 10022"
11455,"Body by Brooklyn",nightclub,"New York",http://www.bodybybrooklyn.com/,"275 Park Ave, Brooklyn, NY 11205"
11456,"Bohemian Hall & Beer Garden",nightclub,"New York",http://www.sokolgreatercleveland.org/,"4939 Broadway Ave, Cleveland, OH 44127"
11457,"Bohemian Hall Beer Garden",nightclub,"New York",https://bohemianhall.com/,"29-19 24th Ave, Astoria, NY 11105"
11459,"Bourbon Street",live_music,"New York",https://bourbonstreetny.com/?utm_source=google,"40-12 Bell Blvd, Bayside, NY 11361"
11460,"Bourbon Street Bar & Grille restaurant",live_music,"New York",http://www.bourbonorleans.com/eat-drink-jazz/bourbon-o-bar/,"Inside Bourbon Orleans Hotel, 730 Bourbon St, New Orleans, LA 70116"
11461,"Bourbon Street Dinner",live_music,"New York",https://www.bourbonsteaknyc.com/,"160 Central Park S Suite 1101-62, New York, NY 10019"
11462,"Bowery Ballroom",nightclub,"New York",http://www.mercuryeastpresents.com/boweryballroom,"6 Delancey St, New York, NY 10002"
11343,Bowlero,nightclub,"New York",https://www.luckystrikeent.com/location/lucky-strike-times-square?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listings,"222 W 44th St, New York, NY 10036"
11463,"Bowlero NYC",nightclub,"New York",https://www.luckystrikeent.com/location/lucky-strike-san-antonio?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listings,"13307 San Pedro Ave, San Antonio, TX 78216"
11344,"Bowlero Times Square",live_music,"New York",https://www.luckystrikeent.com/location/lucky-strike-times-square?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listings,"222 W 44th St, New York, NY 10036"
11345,"Bowlero's whopping New Year's celebration",live_music,"New York",https://www.luckystrikeent.com/location/lucky-strike-milpitas?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listings,"1287 S Park Victoria Dr, Milpitas, CA 95035"
11464,Bravos,nightclub,"New York",https://www.bravokosherpizza.com/,"378 5th Ave, New York, NY 10018"
11466,"Bronze Owl",nightclub,"New York",https://thebronzeowlnyc.com/?SEO_id=GMB--R-NYCCUQQ-3&y_source=1_MTA1NjIzNDEzNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"52 W 33rd St, New York, NY 10001"
11346,"Brooklyn NY US",nightclub,"New York",http://www.brooklyn-usa.org/index.htm,"New York"
11294,"Brooklyn Steel",nightclub,"New York",https://www.bowerypresents.com/new-york-metro/shows/brooklyn-steel,"319 Frost St, Brooklyn, NY 11222"
11289,"Brooklyn Storehouse",nightclub,"New York",https://brooklynstorehouse.com/,"Building 293, Brooklyn Navy Yard, Assembly Rd, Brooklyn, NY 11205"
11469,"Broome Street Ganesha Temple",nightclub,"New York",https://broomestreetganesh.org/,"430 Broome St, New York, NY 10013"
11470,"Bryant Park Grill",live_music,"New York",https://bryantparkgrillnyc.com/,"25 W 40th St, New York, NY 10018"
