6531,"His & Hers Restaurant Bar","216 South St, Philadelphia, PA 19147, USA",Philadelphia,PA
6533,Byblos,"116 S 18th St, Philadelphia, PA 19103, USA",Philadelphia,PA
6534,"The Crown Hookah Lounge","8728 New Falls Rd, Levittown, PA 19054, USA",Philadelphia,PA
6535,"Vira Hookah Lounge","4219 Main St, Philadelphia, PA 19127, USA",Philadelphia,PA
6536,"Alamodak Restaurant and Hookah bar","161 Cecil B. Moore Ave, Philadelphia, PA 19122, USA",Philadelphia,PA
6537,"Risque Hookah Lounge and Bar","5921 Tacony St #2, Philadelphia, PA 19135, USA",Philadelphia,PA
6538,"Prime Fusion Afro Grill & Lounge","2425 Grays Ferry Ave, Philadelphia, PA 19146, USA",Philadelphia,PA
6539,Dahlak,"4708 Baltimore Ave, Philadelphia, PA 19143, USA",Philadelphia,PA
6540,"Dalida hookah lounge","13032 Bustleton Ave, Philadelphia, PA 19116, USA",Philadelphia,PA
6541,"Assembly Rooftop Lounge","1840 Benjamin Franklin Pkwy, Philadelphia, PA 19103, USA",Philadelphia,PA
6542,Stratus,"433 Chestnut St, Philadelphia, PA 19106, USA",Philadelphia,PA
6543,"The Centurion Lounge","near, 8000 Essington Ave Gate A14, Philadelphia, PA 19153, USA",Philadelphia,PA
6544,"Attico Rooftop","219 S Broad St, Philadelphia, PA 19107, USA",Philadelphia,PA
6545,"BILLIONAIRE Cocktail Lounge","5121 Tulip St, Philadelphia, PA 19124, USA",Philadelphia,PA
6546,"Sapphire Caribbean Restaurant & Lounge","114 Chestnut St, Philadelphia, PA 19106, USA",Philadelphia,PA
6547,"5th Street Lounge","5929 N 5th St, Philadelphia, PA 19120, USA",Philadelphia,PA
6548,"Reef Restaurant & Lounge","605 S 3rd St, Philadelphia, PA 19147, USA",Philadelphia,PA
6549,"Chase Sapphire Lounge by The Club Philadelphia","Philadelphia International Airport, Terminal D/E, 8500 Essington Ave, Philadelphia, PA 19153, USA",Philadelphia,PA
6550,Skyhigh,"One N 19th St, Philadelphia, PA 19103, USA",Philadelphia,PA
6551,"The Continental Mid-town","1801 Chestnut St, Philadelphia, PA 19103, USA",Philadelphia,PA
6552,"The Deck Philly","401 S Christopher Columbus Blvd, Philadelphia, PA 19106, USA",Philadelphia,PA
6553,"Harper's Garden","31 S 18th St, Philadelphia, PA 19103, USA",Philadelphia,PA
6554,"El Techo","1830 Ludlow St, Philadelphia, PA 19103, USA",Philadelphia,PA
6555,"Revolution House","200 Market St, Philadelphia, PA 19106, USA",Philadelphia,PA
6556,"Standard Tap","901 N 2nd St, Philadelphia, PA 19123, USA",Philadelphia,PA
6557,"Topside Tavern","10 S 20th St, Philadelphia, PA 19103, USA",Philadelphia,PA
6558,"Jean-Georges Philadelphia","One N 19th St, Philadelphia, PA 19103, USA",Philadelphia,PA
6559,Lark,"Ironworks at Pencoyd Landing, 611 Righters Ferry Rd, Bala Cynwyd, PA 19004, USA",Philadelphia,PA
6560,"Emmy Squared Pizza: Queen Village","632 S 5th St, Philadelphia, PA 19147, USA",Philadelphia,PA
6561,"The Franklin Mortgage & Investment Company","1715 Rittenhouse Square, Philadelphia, PA 19103, USA",Philadelphia,PA
6562,"Midnight & The Wicked","1500 Sansom St, Philadelphia, PA 19102, USA",Philadelphia,PA
6563,Sassafras,"48 S 2nd St, Philadelphia, PA 19106, USA",Philadelphia,PA
6565,"Graffiti Bar","124 S 13th St, Philadelphia, PA 19107, USA",Philadelphia,PA
6566,"The Newsroom Philly","1102 Germantown Ave, Philadelphia, PA 19123, USA",Philadelphia,PA
6567,"Pen & Pencil Club","1522 Latimer St, Philadelphia, PA 19102, USA",Philadelphia,PA
6568,"World Cafe Live","3025 Walnut St, Philadelphia, PA 19104, USA",Philadelphia,PA
6569,"Union Transfer","1026 Spring Garden St, Philadelphia, PA 19123, USA",Philadelphia,PA
6570,"SOUTH Restaurant & Jazz Club","600 N Broad St, Philadelphia, PA 19130, USA",Philadelphia,PA
6571,"The Foundry","29 E Allen St, Philadelphia, PA 19123, USA",Philadelphia,PA
6572,"The Fire","412 W Girard Ave, Philadelphia, PA 19123, USA",Philadelphia,PA
6573,"Underground Arts","1200 Callowhill St, Philadelphia, PA 19107, USA",Philadelphia,PA
6574,VINYL,"215 S 15th St, Philadelphia, PA 19102, USA",Philadelphia,PA
6575,"Kimmel Center for the Performing Arts","300 S Broad St, Philadelphia, PA 19102, USA",Philadelphia,PA
6576,"Ardmore Music Hall","23 E Lancaster Ave, Ardmore, PA 19003, USA",Philadelphia,PA
6577,"The Twisted Tail","509 S 2nd St, Philadelphia, PA 19147, USA",Philadelphia,PA
6578,"MilkBoy Philadelphia","1100 Chestnut St, Philadelphia, PA 19107, USA",Philadelphia,PA
6579,"Ortlieb's","847 N 3rd St, Philadelphia, PA 19123, USA",Philadelphia,PA
6580,"Johnny Brenda's","1201 Frankford Ave, Philadelphia, PA 19125, USA",Philadelphia,PA
6581,"Talula's Garden","210 W Washington Square, Philadelphia, PA 19106, USA",Philadelphia,PA
6582,Parc,"227 S 18th St, Philadelphia, PA 19103, USA",Philadelphia,PA
6583,"Little Nonna's","1234 Locust St, Philadelphia, PA 19107, USA",Philadelphia,PA
6584,"Butcher and Singer","1500 Walnut St, Philadelphia, PA 19102, USA",Philadelphia,PA
