id,name,category,website,city,address
11013,"Friday Saturday Sunday",restaurant,http://fridaysaturdaysunday.com/,Philadelphia,
11014,"Eddie V's Prime Seafood",restaurant,https://www.eddiev.com/locations/pa/king-of-prussia/king-of-prussia/8522?cmpid=br:ev_ag:ie_ch:loc_ca:EVGMB_sn:gmb_gt:king-of-prussia-pa-8522_pl:locurl_rd:1021,Philadelphia,
11015,Panorama,restaurant,https://www.panoramawinebar.com/,Philadelphia,
11016,"Her Place Supper Club",restaurant,http://www.herplacephilly.com/,Philadelphia,
11017,Osteria,restaurant,https://www.osteriaphilly.com/,Philadelphia,
11018,"The Victor Café",restaurant,http://victorcafe.com/,Philadelphia,
11019,"Fiorella Pasta",restaurant,https://fiorellaphilly.com/,Philadelphia,
11020,"Villa di Roma",restaurant,http://www.villadiroma.com/,Philadelphia,
11021,"Giorgio On Pine",restaurant,https://www.giorgio-on-pine.com/,Philadelphia,
11022,"La Nonna",restaurant,http://ristorantelanonna.com/,Philadelphia,
11023,"Dante & Luigi's",restaurant,http://www.danteandluigis.com/,Philadelphia,
11024,"Bistro Romano",restaurant,http://www.bistroromano.com/,Philadelphia,
11025,"Le Virtù",restaurant,http://www.levirtu.com/,Philadelphia,
11026,"Ralph's Italian Restaurant",restaurant,http://www.ralphsrestaurant.com/,Philadelphia,
11027,"Palizzi Social Club",restaurant,https://palizzisocial.com/,Philadelphia,
11028,Bellini,restaurant,https://belliniphiladelphia.com/,Philadelphia,
11029,"Spasso Italian Grill",restaurant,http://www.spassoitaliangrill.com/,Philadelphia,
11030,"L'Angolo Ristorante",restaurant,"",Philadelphia,
11031,"Popi's Restaurant",restaurant,http://www.popisrestaurant.com/,Philadelphia,
11032,"Double Knot",restaurant,https://www.doubleknotphilly.com/,Philadelphia,
11033,"Kichi Omakase",restaurant,"",Philadelphia,
11034,"Royal Sushi & Izakaya",restaurant,http://royalizakaya.com/,Philadelphia,
11035,"Kura Revolving Sushi Bar",restaurant,https://kurasushi.com/locations/philadelphia-pa,Philadelphia,
11036,"Fat Salmon Sushi",restaurant,http://www.fatsalmonsushi.com/,Philadelphia,
11037,"Nakama Japanese Cuisines & Omakase",restaurant,https://exploretock.com/nakama-japanese-cuisines--omakase-philadelphia,Philadelphia,
11038,"Ogawa Sushi & Kappo",restaurant,https://www.ogawaphilly.com/,Philadelphia,
11039,"UNI Japanese Cuisine | Japanese, Hibachi & Ramen Restaurant",restaurant,https://uniphiladelphia.com/,Philadelphia,
11040,"Shiso Noodle and Sushi Bar",restaurant,https://shisonoodleandsushi.com/?utm_source=google,Philadelphia,
11041,Zama,restaurant,http://www.zamaphilly.com/,Philadelphia,
11042,"Umami Steak and Sushi Bar",restaurant,https://umamisteakandsushi.com/?utm_source=google,Philadelphia,
11043,"Chubby Nori | Sushi & Handroll Bar",restaurant,https://chubbygroup.com/project/chubby-nori-philly/,Philadelphia,
11044,"Bleu Sushi",restaurant,http://www.bleusushi.com/,Philadelphia,
11045,"Samurai Japanese Restaurant",restaurant,https://samuraiasianfusion.com/,Philadelphia,
11046,"Yuhiro Omakase Sushi",restaurant,https://www.yuhirosushi.com/,Philadelphia,
11047,"KIRIN HOUSE",restaurant,https://www.kirinhousephilly.com/,Philadelphia,
